OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105160k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-22T01:08:00.546+0800: 0.237: [GC (Allocation Failure) [PSYoungGen: 524800K->87039K(611840K)] 524800K->143796K(2010112K), 0.0469536 secs] [Times: user=0.09 sys=0.28, real=0.05 secs] 
2021-01-22T01:08:00.660+0800: 0.351: [GC (Allocation Failure) [PSYoungGen: 611839K->87039K(611840K)] 668596K->255302K(2010112K), 0.0728010 secs] [Times: user=0.19 sys=0.38, real=0.07 secs] 
2021-01-22T01:08:00.798+0800: 0.489: [GC (Allocation Failure) [PSYoungGen: 611839K->87037K(611840K)] 780102K->359737K(2010112K), 0.0418109 secs] [Times: user=0.17 sys=0.16, real=0.05 secs] 
2021-01-22T01:08:00.905+0800: 0.596: [GC (Allocation Failure) [PSYoungGen: 611837K->87037K(611840K)] 884537K->470861K(2010112K), 0.0441417 secs] [Times: user=0.18 sys=0.17, real=0.05 secs] 
2021-01-22T01:08:01.010+0800: 0.701: [GC (Allocation Failure) [PSYoungGen: 611692K->87026K(611840K)] 995516K->588457K(2010112K), 0.0474812 secs] [Times: user=0.13 sys=0.23, real=0.04 secs] 
2021-01-22T01:08:01.114+0800: 0.806: [GC (Allocation Failure) [PSYoungGen: 611826K->87037K(332288K)] 1113257K->692308K(1730560K), 0.0475206 secs] [Times: user=0.17 sys=0.21, real=0.05 secs] 
2021-01-22T01:08:01.188+0800: 0.879: [GC (Allocation Failure) [PSYoungGen: 332285K->142657K(388096K)] 937556K->753453K(1786368K), 0.0170923 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
2021-01-22T01:08:01.234+0800: 0.925: [GC (Allocation Failure) [PSYoungGen: 387905K->181388K(473600K)] 998701K->804560K(1871872K), 0.0229301 secs] [Times: user=0.17 sys=0.01, real=0.02 secs] 
2021-01-22T01:08:01.287+0800: 0.978: [GC (Allocation Failure) [PSYoungGen: 423564K->188310K(467456K)] 1046736K->837113K(1865728K), 0.0278554 secs] [Times: user=0.21 sys=0.01, real=0.03 secs] 
2021-01-22T01:08:01.342+0800: 1.033: [GC (Allocation Failure) [PSYoungGen: 430486K->136958K(468480K)] 1079289K->876006K(1866752K), 0.0470441 secs] [Times: user=0.11 sys=0.25, real=0.05 secs] 
2021-01-22T01:08:01.415+0800: 1.106: [GC (Allocation Failure) [PSYoungGen: 382206K->82522K(328192K)] 1121254K->927612K(1726464K), 0.0482235 secs] [Times: user=0.13 sys=0.25, real=0.05 secs] 
2021-01-22T01:08:01.502+0800: 1.193: [GC (Allocation Failure) [PSYoungGen: 327770K->88149K(465920K)] 1172860K->995278K(1864192K), 0.0375273 secs] [Times: user=0.21 sys=0.08, real=0.04 secs] 
2021-01-22T01:08:01.579+0800: 1.270: [GC (Allocation Failure) [PSYoungGen: 321109K->69036K(465920K)] 1228238K->1047516K(1864192K), 0.0322850 secs] [Times: user=0.09 sys=0.17, real=0.03 secs] 
2021-01-22T01:08:01.637+0800: 1.328: [GC (Allocation Failure) [PSYoungGen: 301996K->77584K(465920K)] 1280476K->1110791K(1864192K), 0.0275012 secs] [Times: user=0.11 sys=0.11, real=0.03 secs] 
2021-01-22T01:08:01.689+0800: 1.380: [GC (Allocation Failure) [PSYoungGen: 310454K->76009K(465920K)] 1343661K->1172227K(1864192K), 0.0281806 secs] [Times: user=0.10 sys=0.12, real=0.02 secs] 
2021-01-22T01:08:01.746+0800: 1.437: [GC (Allocation Failure) [PSYoungGen: 308969K->79047K(465920K)] 1405187K->1236485K(1864192K), 0.0279491 secs] [Times: user=0.16 sys=0.06, real=0.03 secs] 
2021-01-22T01:08:01.803+0800: 1.494: [GC (Allocation Failure) [PSYoungGen: 311903K->76980K(465920K)] 1469341K->1297829K(1864192K), 0.0291693 secs] [Times: user=0.15 sys=0.08, real=0.03 secs] 
2021-01-22T01:08:01.856+0800: 1.547: [GC (Allocation Failure) [PSYoungGen: 309940K->76686K(465920K)] 1530789K->1357625K(1864192K), 0.0280272 secs] [Times: user=0.09 sys=0.13, real=0.03 secs] 
2021-01-22T01:08:01.885+0800: 1.576: [Full GC (Ergonomics) [PSYoungGen: 76686K->0K(465920K)] [ParOldGen: 1280938K->388393K(1398272K)] 1357625K->388393K(1864192K), [Metaspace: 2810K->2810K(1056768K)], 0.0482694 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-22T01:08:01.959+0800: 1.650: [GC (Allocation Failure) [PSYoungGen: 232960K->72005K(465920K)] 621353K->460399K(1864192K), 0.0079046 secs] [Times: user=0.04 sys=0.03, real=0.00 secs] 
2021-01-22T01:08:01.993+0800: 1.684: [GC (Allocation Failure) [PSYoungGen: 304965K->71804K(465920K)] 693359K->514691K(1864192K), 0.0128007 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2021-01-22T01:08:02.032+0800: 1.723: [GC (Allocation Failure) [PSYoungGen: 304764K->75766K(465920K)] 747651K->574496K(1864192K), 0.0138862 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:02.069+0800: 1.760: [GC (Allocation Failure) [PSYoungGen: 308726K->76099K(475136K)] 807456K->635421K(1873408K), 0.0138350 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:02.110+0800: 1.801: [GC (Allocation Failure) [PSYoungGen: 320835K->77293K(468480K)] 880157K->694191K(1866752K), 0.0148738 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:02.152+0800: 1.843: [GC (Allocation Failure) [PSYoungGen: 322029K->80511K(490496K)] 938927K->756785K(1888768K), 0.0149284 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:02.201+0800: 1.892: [GC (Allocation Failure) [PSYoungGen: 354431K->83472K(482304K)] 1030705K->823121K(1880576K), 0.0160097 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:02.249+0800: 1.940: [GC (Allocation Failure) [PSYoungGen: 357392K->84513K(506368K)] 1097041K->889783K(1904640K), 0.0161437 secs] [Times: user=0.10 sys=0.02, real=0.01 secs] 
2021-01-22T01:08:02.302+0800: 1.993: [GC (Allocation Failure) [PSYoungGen: 390177K->89950K(498176K)] 1195447K->959569K(1896448K), 0.0163528 secs] [Times: user=0.10 sys=0.02, real=0.02 secs] 
2021-01-22T01:08:02.353+0800: 2.044: [GC (Allocation Failure) [PSYoungGen: 395614K->96608K(523264K)] 1265233K->1032592K(1921536K), 0.0174281 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.412+0800: 2.103: [GC (Allocation Failure) [PSYoungGen: 435552K->103294K(514560K)] 1371536K->1108288K(1912832K), 0.0217924 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.471+0800: 2.162: [GC (Allocation Failure) [PSYoungGen: 442112K->104179K(532992K)] 1447106K->1186146K(1931264K), 0.0199230 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.530+0800: 2.221: [GC (Allocation Failure) [PSYoungGen: 466675K->110773K(528384K)] 1548642K->1264622K(1926656K), 0.0191134 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.589+0800: 2.280: [GC (Allocation Failure) [PSYoungGen: 473269K->117167K(535040K)] 1627118K->1344692K(1933312K), 0.0207318 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.651+0800: 2.342: [GC (Allocation Failure) [PSYoungGen: 488367K->111194K(535040K)] 1715892K->1417995K(1933312K), 0.0256665 secs] [Times: user=0.15 sys=0.04, real=0.02 secs] 
2021-01-22T01:08:02.677+0800: 2.368: [Full GC (Ergonomics) [PSYoungGen: 111194K->0K(535040K)] [ParOldGen: 1306800K->385495K(1398272K)] 1417995K->385495K(1933312K), [Metaspace: 2810K->2810K(1056768K)], 0.0459426 secs] [Times: user=0.33 sys=0.00, real=0.05 secs] 
2021-01-22T01:08:02.765+0800: 2.456: [GC (Allocation Failure) [PSYoungGen: 371200K->115223K(538112K)] 756695K->500719K(1936384K), 0.0139645 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.822+0800: 2.514: [GC (Allocation Failure) [PSYoungGen: 491543K->113057K(537088K)] 877039K->580999K(1935360K), 0.0226715 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.886+0800: 2.577: [GC (Allocation Failure) [PSYoungGen: 489377K->109481K(543744K)] 957319K->656936K(1942016K), 0.0185398 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:02.946+0800: 2.637: [GC (Allocation Failure) [PSYoungGen: 494505K->116879K(540160K)] 1041960K->742988K(1938432K), 0.0198927 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.012+0800: 2.703: [GC (Allocation Failure) [PSYoungGen: 501903K->110112K(547328K)] 1128012K->815737K(1945600K), 0.0208056 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.083+0800: 2.774: [GC (Allocation Failure) [PSYoungGen: 502816K->119223K(544256K)] 1208441K->894144K(1942528K), 0.0219184 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.153+0800: 2.844: [GC (Allocation Failure) [PSYoungGen: 511927K->112046K(549888K)] 1286848K->964874K(1948160K), 0.0205902 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.222+0800: 2.913: [GC (Allocation Failure) [PSYoungGen: 510382K->110447K(547328K)] 1363210K->1044814K(1945600K), 0.0216319 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.292+0800: 2.983: [GC (Allocation Failure) [PSYoungGen: 508783K->116732K(553984K)] 1443150K->1130075K(1952256K), 0.0241555 secs] [Times: user=0.18 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.367+0800: 3.058: [GC (Allocation Failure) [PSYoungGen: 524796K->128360K(536576K)] 1538139K->1220642K(1934848K), 0.0421533 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-22T01:08:03.463+0800: 3.154: [GC (Allocation Failure) [PSYoungGen: 536424K->117751K(551424K)] 1628706K->1298672K(1949696K), 0.0223401 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.532+0800: 3.223: [GC (Allocation Failure) [PSYoungGen: 520695K->115093K(550400K)] 1701616K->1377129K(1948672K), 0.0206411 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.598+0800: 3.289: [GC (Allocation Failure) [PSYoungGen: 518037K->125927K(549888K)] 1780073K->1472011K(1948160K), 0.0303456 secs] [Times: user=0.22 sys=0.01, real=0.04 secs] 
2021-01-22T01:08:03.629+0800: 3.320: [Full GC (Ergonomics) [PSYoungGen: 125927K->0K(549888K)] [ParOldGen: 1346083K->375429K(1398272K)] 1472011K->375429K(1948160K), [Metaspace: 2810K->2810K(1056768K)], 0.0403996 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-22T01:08:03.713+0800: 3.404: [GC (Allocation Failure) [PSYoungGen: 404992K->126797K(531968K)] 780421K->502227K(1930240K), 0.0125596 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2021-01-22T01:08:03.773+0800: 3.464: [GC (Allocation Failure) [PSYoungGen: 531789K->109506K(552960K)] 907219K->574990K(1951232K), 0.0203673 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.836+0800: 3.527: [GC (Allocation Failure) [PSYoungGen: 513986K->122994K(550400K)] 979470K->664431K(1948672K), 0.0199048 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.901+0800: 3.592: [GC (Allocation Failure) [PSYoungGen: 527474K->118377K(554496K)] 1068911K->737906K(1952768K), 0.0217604 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:03.970+0800: 3.661: [GC (Allocation Failure) [PSYoungGen: 526441K->120408K(552448K)] 1145970K->818608K(1950720K), 0.0241499 secs] [Times: user=0.18 sys=0.01, real=0.02 secs] 
2021-01-22T01:08:04.043+0800: 3.734: [GC (Allocation Failure) [PSYoungGen: 528472K->117855K(557568K)] 1226672K->897789K(1955840K), 0.0219904 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:04.111+0800: 3.802: [GC (Allocation Failure) [PSYoungGen: 532063K->109343K(555520K)] 1311997K->968931K(1953792K), 0.0195782 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:04.184+0800: 3.875: [GC (Allocation Failure) [PSYoungGen: 523469K->116683K(561152K)] 1383057K->1052696K(1959424K), 0.0251442 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
