OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105040k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-22T00:43:15.061+0800: 0.399: [GC (Allocation Failure) 2021-01-22T00:43:15.061+0800: 0.399: [DefNew: 1118528K->139776K(1258304K), 0.0616253 secs] 1118528K->234280K(4054528K), 0.0625737 secs] [Times: user=0.05 sys=0.02, real=0.06 secs] 
2021-01-22T00:43:15.262+0800: 0.600: [GC (Allocation Failure) 2021-01-22T00:43:15.277+0800: 0.615: [DefNew: 1258304K->139775K(1258304K), 0.0733246 secs] 1352808K->384672K(4054528K), 0.0885215 secs] [Times: user=0.01 sys=0.06, real=0.09 secs] 
2021-01-22T00:43:15.486+0800: 0.824: [GC (Allocation Failure) 2021-01-22T00:43:15.486+0800: 0.824: [DefNew: 1258303K->139775K(1258304K), 0.0610983 secs] 1503200K->562766K(4054528K), 0.0620521 secs] [Times: user=0.02 sys=0.04, real=0.07 secs] 
2021-01-22T00:43:15.684+0800: 1.022: [GC (Allocation Failure) 2021-01-22T00:43:15.684+0800: 1.022: [DefNew: 1258303K->139775K(1258304K), 0.0570431 secs] 1681294K->715536K(4054528K), 0.0580064 secs] [Times: user=0.04 sys=0.02, real=0.06 secs] 
2021-01-22T00:43:15.879+0800: 1.217: [GC (Allocation Failure) 2021-01-22T00:43:15.879+0800: 1.217: [DefNew: 1258303K->139775K(1258304K), 0.0606707 secs] 1834064K->867648K(4054528K), 0.0615540 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2021-01-22T00:43:16.072+0800: 1.409: [GC (Allocation Failure) 2021-01-22T00:43:16.072+0800: 1.410: [DefNew: 1258303K->139775K(1258304K), 0.0595700 secs] 1986176K->1017615K(4054528K), 0.0603845 secs] [Times: user=0.05 sys=0.01, real=0.06 secs] 
2021-01-22T00:43:16.273+0800: 1.611: [GC (Allocation Failure) 2021-01-22T00:43:16.273+0800: 1.611: [DefNew: 1258303K->139776K(1258304K), 0.0636761 secs] 2136143K->1169776K(4054528K), 0.0645433 secs] [Times: user=0.04 sys=0.02, real=0.06 secs] 
2021-01-22T00:43:16.487+0800: 1.825: [GC (Allocation Failure) 2021-01-22T00:43:16.488+0800: 1.825: [DefNew: 1258304K->139776K(1258304K), 0.0674620 secs] 2288304K->1327265K(4054528K), 0.0682245 secs] [Times: user=0.03 sys=0.04, real=0.07 secs] 
2021-01-22T00:43:16.696+0800: 2.034: [GC (Allocation Failure) 2021-01-22T00:43:16.696+0800: 2.034: [DefNew: 1258304K->139776K(1258304K), 0.0613172 secs] 2445793K->1488449K(4054528K), 0.0622203 secs] [Times: user=0.04 sys=0.02, real=0.07 secs] 
2021-01-22T00:43:16.921+0800: 2.259: [GC (Allocation Failure) 2021-01-22T00:43:16.921+0800: 2.259: [DefNew: 1258304K->139775K(1258304K), 0.0613497 secs] 2606977K->1636379K(4054528K), 0.0620893 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2021-01-22T00:43:17.127+0800: 2.465: [GC (Allocation Failure) 2021-01-22T00:43:17.127+0800: 2.465: [DefNew: 1258303K->139775K(1258304K), 0.0606687 secs] 2754907K->1793813K(4054528K), 0.0615094 secs] [Times: user=0.03 sys=0.03, real=0.07 secs] 
